titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
COMME T Y ES BELLE,AZUELOS Lisa,2004,FRANCE / GRANDE BRETAGNE,2022,30,24,2.0
SOIF DE L OR (LA),OURY Gérard,1992,FRANCE,2024,30,23,1.0714285714285714
ARTHUR ET LES MINIMOYS,BESSON Luc,2004,FRANCE,2024,30,21,2.0
7 ANS DE MARIAGE...,BOURDON Didier,2003,FRANCE,2024,30,22,1.6666666666666667
GAZON MAUDIT,BALASKO Josiane,1994,FRANCE,2021,30,21,1.1111111111111112
X-MEN,SINGER Bryan,2000,ETATS UNIS,2021,30,17,1.4285714285714286
FAST AND FURIOUS 4,LIN Justin,2008,ETATS UNIS,2024,30,16,2.3076923076923075
MUNE LE GARDIEN DE LA LUNE,PHILIPPON Benoît,2014,FRANCE,2024,29,8,4.833333333333333
TOUCHEZ PAS AU GRISBI,BECKER Jacques,1953,FRANCE / Italie,2024,29,10,0.6590909090909091
UNION SACREE (L'),ARCADY Alexandre,1988,FRANCE,2020,29,23,0.8787878787878788
MEURTRE AU SOLEIL,HAMILTON Guy,1981,GRANDE BRETAGNE,2024,29,15,0.7837837837837838
MOUTARDE ME MONTE AU NEZ (LA),ZIDI Claude,1974,FRANCE,2023,29,12,0.6444444444444445
JEUX INTERDITS,CLEMENT René,1951,FRANCE,2024,29,13,0.6041666666666666
ENFANTS DU PARADIS (LES),CARNE Marcel,1945,FRANCE,2012,29,5,0.453125
POINT BREAK EXTREME LIMITE,BIGELOW Kathryn,1991,ETATS UNIS,2024,29,11,0.9666666666666667
GUIGNOLO (LE),LAUTNER Georges,1979,FRANCE / ITALIE,2015,29,19,0.7073170731707317
ROMUALD ET JULIETTE,SERREAU Coline,1988,FRANCE,2020,29,23,0.90625
COMPERES (LES),VEBER Francis,1983,FRANCE,2024,29,20,0.7837837837837838
TRIBULATIONS D UN CHINOIS EN CHINE (LES),DE BROCA Philippe,1965,FRANCE / ITALIE,2024,29,7,0.5471698113207547
PINOT SIMPLE FLIC,JUGNOT Gérard,1984,FRANCE,2017,29,23,0.7837837837837838
ESPION LEVE TOI,BOISSET Yves,1981,FRANCE,2021,29,16,0.725
TAKEN,MOREL Pierre,2007,France,2024,29,16,2.230769230769231
AUBERGE ESPAGNOLE (L'),KLAPISCH Cédric,2001,FRANCE / ESPAGNE,2024,29,18,1.5263157894736843
X MEN II,SINGER Bryan,2002,ETATS UNIS,2021,29,19,1.6111111111111112
BATMAN BEGINS,NOLAN Christopher,2004,ETATS UNIS,2024,29,18,1.8125
COYOTE GIRLS,MacNALLY David,2000,ETATS UNIS,2024,29,19,1.45
TANGUY,CHATILIEZ Etienne,2001,FRANCE,2023,29,22,1.45
SPEED - GRAHAM YOST -,DE BONT Jan,1993,ETATS UNIS,2023,29,19,1.1153846153846154
ARTHUR ET LA VENGEANCE DE MALTAZARD,BESSON Luc,2008,FRANCE,2024,29,18,2.4166666666666665
GENS EN MAILLOT DE BAIN... NE SONT P (LES),ASSOUS Eric,1999,FRANCE,2024,29,18,1.380952380952381
EVADES (LES) - FRANK DARABONT -,DARABONT Franck,1994,ETATS UNIS,2024,29,23,1.1153846153846154
BRICE DE NICE,HUTH James,2004,FRANCE,2024,29,21,1.7058823529411764
TRIPLETTES DE BELLEVILLE (LES),CHOMET Sylvain,2000,FRANCE / CANADA,2022,29,17,1.5263157894736843
COMME UN CHEF,COHEN Daniel,2011,FRANCE  / ESPAGNE,2024,28,16,3.111111111111111
POUR UNE POIGNEE DE DOLLARS,LEONE Sergio,1964,ITALIE,2024,28,19,0.7567567567567568
DICTATEUR (LE),CHAPLIN Charles,1940,ETATS UNIS,2021,28,8,0.5957446808510638
BON LA BRUTE ET LE TRUAND (LE),LEONE Sergio,1966,ITALIE,2024,28,21,0.7
CESAR ET ROSALIE,SAUTET Claude,1972,FRANCE,2023,28,12,0.6222222222222222
SHOAH,LANZMANN Claude,1979,SUISSE / FRANCE,2024,28,16,0.7567567567567568
BONS BAISERS DE RUSSIE,YOUNG Terence,1963,GRANDE BRETAGNE,2023,28,15,0.8
FEMME DE MON POTE (LA),BLIER Bertrand,1983,FRANCE,2020,28,17,0.7567567567567568
COUP DE TORCHON,TAVERNIER Bertrand,1981,FRANCE,2024,28,11,0.7
SOS FANTOMES II,REITMAN Ivan,1989,ETATS UNIS,2021,28,12,0.9032258064516129
ADIEU POULET,GRANIER-DEFERRE Pierre,1975,FRANCE,2023,28,16,0.6222222222222222
ET DIEU CREA LA FEMME,VADIM Roger,1956,FRANCE,2018,28,8,0.5957446808510638
TERMINATOR 2,CAMERON James,1991,ETATS UNIS,2024,28,15,0.9655172413793104
JAMES BOND 007 CONTRE DR NO,YOUNG Terence,1962,GRANDE BRETAGNE,2020,28,16,0.7777777777777778
TROU NORMAND (LE),BOYER Jean,1952,FRANCE,2017,28,17,0.509090909090909
MARCHE A L OMBRE,BLANC Michel,1984,FRANCE,2024,28,17,0.7567567567567568
MALHEURS D ALFRED (LES),RICHARD Pierre,1971,FRANCE,2020,28,13,0.5833333333333334
TROIS HOMMES ET UN COUFFIN,SERREAU Coline,1985,FRANCE,2024,28,13,0.7567567567567568
SALAIRE DE LA PEUR (LE),CLOUZOT Henri-Georges,1951,FRANCE / Italie,2022,28,11,0.509090909090909
SHERLOCK HOLMES - GUY RITCHIE -,RITCHIE Guy,2008,GRANDE BRETAGNE,2024,28,16,2.3333333333333335
GOOD BYE LENIN,BECKER Wolfgang,2003,ALLEMAGNE,2023,28,9,1.5555555555555556
MASQUE DE L ARAIGNEE (LE),TAMAHORI Lee,2001,ETATS UNIS,2024,28,21,1.4
ET AU MILIEU COULE UNE RIVIERE,REDFORD Robert,1992,ETATS UNIS,2024,28,16,1.037037037037037
JURASSIC PARK III,JOHNSTON Joe,2001,ETATS UNIS,2024,28,19,1.4
THE QUEEN,FREARS Stephen,2005,GRANDE BRETAGNE / FRANCE,2024,28,16,2.0
TOUS A L OUEST UNE AVENTURE DE LUCKY LUK,JEAN MARIE Olivier,2006,France,2024,28,18,2.0
THE ROCK,BAY Michael,1995,ETATS UNIS,2024,28,24,1.12
J AI FAIM,QUENTIN Florence,2000,FRANCE,2022,28,21,1.4
BEETHOVEN 2,DANIEL Rod,1993,ETATS UNIS,2024,28,12,1.037037037037037
ARMAGEDDON,BAY Michael,1998,ETATS UNIS,2024,28,20,1.2727272727272727
SISTER ACT ACTE 2,DUKE Bill,1993,ETATS UNIS,2024,28,15,1.037037037037037
TRANSPORTEUR II (LE),LETERRIER Louis,2005,FRANCE,2024,28,16,1.75
MEMOIRE DANS LA PEAU (LA),LIMAN Doug,2001,ETATS UNIS,2024,28,17,1.4736842105263157
TRUE LIES LE CAMELEON,CAMERON James,1994,ETATS UNIS,2021,28,19,1.0769230769230769
FAST AND FURIOUS TOKYO DRIFT,LIN Justin,2005,ETATS UNIS,2020,28,13,1.8666666666666667
FAST & FURIOUS 2,SINGLETON John,2003,ETATS UNIS,2022,28,15,1.5555555555555556
