titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
GREMLINS,DANTE Joe,1984,ETATS UNIS,2024,18,8,2.0
PRETTY WOMAN,MARSHALL Garry,1990,ETATS UNIS,2024,18,12,1.8
FLIC DE BEVERLY HILLS 3 (LE),LANDIS John,1993,ETATS UNIS,2023,18,10,1.8
TRUE LIES LE CAMELEON,CAMERON James,1994,ETATS UNIS,2021,18,11,1.8
"I, ROBOT",PROYAS Alex,2004,ETATS UNIS,2023,18,11,1.8
TROIS FRERES (LES),BOURDON Didier,1994,FRANCE,2023,18,11,1.8
J AURAIS VOULU ETRE UN DANSEUR,BERLINER Alain,2005,BELGIQUE / LUXEMBOURG,2018,18,0,1.8
MASQUE DE ZORRO (LE),CAMPBELL Martin,1998,ETATS UNIS,2023,18,9,1.8
LEON,BESSON Luc,1993,FRANCE,2024,18,8,1.8
RANDONNEURS (LES),HAREL Philippe,1996,FRANCE,2024,18,11,1.8
LARA CROFT TOMB RAIDER,WEST Simon,2000,ETATS UNIS,2024,18,10,2.0
THE ROCK,BAY Michael,1995,ETATS UNIS,2024,18,14,1.8
PLUS BEAU METIER DU MONDE (LE),LAUZIER Gérard,1996,FRANCE,2023,18,10,2.0
PARI (LE),BOURDON Didier,1997,FRANCE,2023,18,12,1.8
BLACK BOOK,VERHOEVEN Paul,2005,PAYS BAS,2023,18,10,1.8
TOTALLY SPIES LE FILM,JARDIN Pascal,2009,FRANCE / ITALIE,2024,18,6,1.8
AGE DE GLACE (L'),WEDGE Chris,2002,ETATS UNIS,2024,18,8,2.0
J INVENTE RIEN,LECLERC Michel,2005,FRANCE,2021,18,0,4.5
ARME FATALE III (L'),DONNER Richard,1992,ETATS UNIS,2024,18,9,1.8
DE VRAIS MENSONGES,SALVADORI Pierre,2009,FRANCE,2022,17,9,1.8888888888888888
PIRATES DES CARAIBES LA FONTAINE DE JOUV,MARSHALL Rob,2010,ETATS UNIS / GRANDE BRETAGNE,2023,17,9,1.7
RED,SCHWENTKE Robert,2010,ETATS UNIS,2024,17,9,1.7
MAN OF STEEL,SNYDER Zack,2011,CANADA,2024,17,10,1.8888888888888888
TWILIGHT CHAPITRE 3 HESITATION,SLADE David,2009,ETATS UNIS,2024,17,9,1.7
JE SUIS UNE LEGENDE,LAWRENCE Francis,2006,ETATS UNIS,2024,17,11,1.7
MOI MOCHE ET MECHANT,RENAUD Chris,2010,ETATS UNIS,2024,17,8,1.7
INCEPTION,NOLAN Christopher,2009,GRANDE BRETAGNE,2023,17,10,1.7
POLISSE,LE BESCO Maïwenn,2010,FRANCE,2024,17,10,2.125
MARQUIS (LE),FARRUGIA Dominique,2010,FRANCE,2024,17,13,1.7
